participant_id,country,site,school,age,date_of_birth,gender,grade_level,enrollment_date,cohort_status,consent_status,phone_contact,employment_status,food_security,healthcare_access,socioeconomic_status
NEPS-GHA-0001,Ghana,Tamale,Ghana SHS,20,4/10/2006,Female,Not in school,4/7/2026,active,consented,2.33301E+11,student,secure,good,lower_middle
NEPS-GHA-0002,Ghana,Sogakope,Presbyterian Boys,18,8/2/2007,Male,University,4/5/2026,withdrawn,consented,2.33371E+11,unemployed,moderately_insecure,fair,lower_middle
NEPS-GHA-0003,Ghana,Accra,Methodist Boys,14,3/17/2012,Female,SHS,9/24/2025,withdrawn,consented,2.33776E+11,student,secure,good,low
NEPS-GHA-0004,Ghana,Tamale,Accra Academy,11,8/26/2014,Male,Not in school,7/6/2025,active,consented,2.33286E+11,student,severely_insecure,fair,low
NEPS-GHA-0005,Ghana,Tamale,Ghana SHS,16,1/14/2010,Other,SHS,1/23/2025,active,consented,2.33384E+11,student,mildly_insecure,good,lower_middle
NEPS-GHA-0006,Ghana,Sogakope,Presbyterian Boys,17,11/23/2008,Female,Not in school,7/30/2025,active,consented,2.33539E+11,student,moderately_insecure,poor,low
NEPS-GHA-0007,Ghana,Ho,St. Augustine's,11,2/16/2015,Female,JHS,9/29/2024,active,consented,2.33803E+11,student,severely_insecure,fair,low
NEPS-GHA-0008,Ghana,Sogakope,St. Augustine's,16,8/11/2009,Female,Not in school,3/20/2025,active,consented,2.33931E+11,self-employed,secure,fair,middle
NEPS-GHA-0009,Ghana,Ho,Accra Academy,11,11/19/2014,Female,JHS,4/7/2025,active,pending,2.33487E+11,student,mildly_insecure,fair,lower_middle
NEPS-GHA-0010,Ghana,Tamale,Ghana SHS,14,10/26/2011,Male,JHS,11/22/2025,inactive,pending,2.3352E+11,casual_labor,moderately_insecure,good,middle
NEPS-GHA-0011,Ghana,Tamale,Accra Academy,15,3/15/2011,Male,SHS,10/27/2024,active,declined,2.3353E+11,casual_labor,severely_insecure,poor,low
NEPS-GHA-0012,Ghana,Sogakope,Ghana SHS,13,8/18/2012,Male,SHS,2/11/2026,active,consented,2.33485E+11,student,secure,fair,upper_middle
NEPS-GHA-0013,Ghana,Accra,Presbyterian Boys,24,9/4/2001,Female,Vocational,3/20/2024,active,consented,2.33441E+11,student,mildly_insecure,none,lower_middle
NEPS-GHA-0014,Ghana,Ho,Methodist Boys,10,8/7/2015,Other,Primary,10/12/2024,withdrawn,consented,2.33456E+11,student,secure,fair,middle
NEPS-GHA-0015,Ghana,Sogakope,Methodist Boys,13,9/1/2012,Male,JHS,12/18/2025,active,consented,2.3358E+11,not_applicable,moderately_insecure,good,lower_middle
NEPS-GHA-0016,Ghana,Sogakope,Ghana SHS,17,5/9/2009,Male,Not in school,6/12/2024,active,consented,2.33351E+11,student,secure,poor,lower_middle
NEPS-GHA-0017,Ghana,Tamale,Ghana SHS,14,10/12/2011,Female,JHS,8/20/2025,active,consented,2.333E+11,student,severely_insecure,poor,low
NEPS-GHA-0018,Ghana,Sogakope,Ghana SHS,16,9/30/2009,Male,Not in school,12/26/2024,withdrawn,consented,2.33654E+11,student,secure,fair,middle
NEPS-GHA-0019,Ghana,Accra,St. Augustine's,13,1/4/2013,Female,JHS,9/22/2025,active,pending,2.33369E+11,student,moderately_insecure,poor,low
NEPS-GHA-0020,Ghana,Ho,Presbyterian Boys,11,3/1/2015,Male,Not in school,2/21/2026,active,consented,2.3365E+11,student,secure,good,lower_middle
NEPS-GHA-0021,Ghana,Accra,Accra Academy,13,6/27/2012,Other,JHS,4/29/2024,inactive,consented,2.33867E+11,student,secure,fair,middle
NEPS-GHA-0022,Ghana,Accra,St. Augustine's,18,2/17/2008,Male,University,11/30/2024,withdrawn,consented,2.33857E+11,self-employed,moderately_insecure,poor,middle
NEPS-GHA-0023,Ghana,Ho,St. Augustine's,14,7/1/2011,Male,JHS,1/16/2026,active,consented,2.33419E+11,student,mildly_insecure,good,low
NEPS-GHA-0024,Ghana,Sogakope,St. Augustine's,17,1/28/2009,Male,SHS,12/18/2023,inactive,consented,2.33674E+11,student,mildly_insecure,excellent,upper_middle
NEPS-GHA-0025,Ghana,Accra,Presbyterian Boys,10,4/7/2016,Female,Primary,2/14/2026,active,consented,2.33592E+11,student,mildly_insecure,good,low
NEPS-GHA-0026,Ghana,Tamale,Methodist Boys,13,6/20/2012,Female,Not in school,8/20/2025,inactive,consented,2.33374E+11,student,moderately_insecure,poor,lower_middle
NEPS-GHA-0027,Ghana,Accra,Methodist Boys,10,3/4/2016,Male,Not in school,4/8/2024,active,consented,2.33611E+11,student,moderately_insecure,poor,low
NEPS-GHA-0028,Ghana,Ho,Presbyterian Boys,13,2/22/2013,Female,JHS,1/17/2024,active,consented,2.33275E+11,student,severely_insecure,none,low
NEPS-GHA-0029,Ghana,Accra,St. Augustine's,20,9/19/2005,Male,Not in school,3/19/2025,active,declined,2.33241E+11,unemployed,mildly_insecure,excellent,lower_middle
NEPS-GHA-0030,Ghana,Tamale,Presbyterian Boys,16,12/11/2009,Male,Not in school,4/16/2024,active,consented,2.33758E+11,student,severely_insecure,good,lower_middle
NEPS-GHA-0031,Ghana,Ho,St. Augustine's,16,5/1/2010,Female,Not in school,6/21/2024,active,consented,2.33949E+11,student,severely_insecure,good,low
NEPS-GHA-0032,Ghana,Sogakope,St. Augustine's,12,2/26/2014,Male,JHS,2/26/2025,withdrawn,consented,2.33426E+11,student,moderately_insecure,good,lower_middle
NEPS-GHA-0033,Ghana,Ho,Accra Academy,19,7/6/2006,Female,SHS,6/7/2025,active,consented,2.33753E+11,employed,secure,fair,middle
NEPS-GHA-0034,Ghana,Tamale,Methodist Boys,23,2/7/2003,Female,SHS,6/13/2024,withdrawn,consented,2.33876E+11,unemployed,secure,excellent,middle
NEPS-GHA-0035,Ghana,Sogakope,Accra Academy,17,11/13/2008,Female,Not in school,8/26/2025,active,pending,2.33947E+11,student,mildly_insecure,poor,upper_middle
NEPS-GHA-0036,Ghana,Sogakope,St. Augustine's,18,1/30/2008,Male,Vocational,12/16/2023,withdrawn,consented,2.33972E+11,student,secure,good,upper_middle
NEPS-GHA-0037,Ghana,Accra,Presbyterian Boys,17,3/16/2009,Female,SHS,4/1/2024,active,consented,2.33672E+11,student,severely_insecure,poor,low
NEPS-GHA-0038,Ghana,Sogakope,Methodist Boys,13,1/16/2013,Female,SHS,5/24/2025,active,consented,2.33783E+11,student,secure,good,middle
NEPS-GHA-0039,Ghana,Ho,Methodist Boys,10,2/19/2016,Female,Not in school,1/1/2024,active,consented,2.33578E+11,not_applicable,mildly_insecure,poor,middle
NEPS-GHA-0040,Ghana,Sogakope,Ghana SHS,23,11/5/2002,Female,University,10/28/2024,active,consented,2.33929E+11,employed,moderately_insecure,good,lower_middle
NEPS-GHA-0041,Ghana,Accra,Presbyterian Boys,23,10/11/2002,Male,Not in school,12/23/2025,active,pending,2.33395E+11,employed,severely_insecure,poor,low
NEPS-GHA-0042,Ghana,Accra,Presbyterian Boys,16,12/20/2009,Female,Not in school,9/28/2025,withdrawn,consented,2.33779E+11,student,moderately_insecure,good,middle
NEPS-GHA-0043,Ghana,Accra,St. Augustine's,13,7/7/2012,Male,JHS,2/21/2026,active,consented,2.33919E+11,student,moderately_insecure,none,lower_middle
NEPS-GHA-0044,Ghana,Accra,Presbyterian Boys,13,10/9/2012,Female,SHS,5/16/2024,active,consented,2.33821E+11,student,mildly_insecure,none,middle
